ano,mes,dia,trim,cb,rangocb,rangocb2,AREA,cpt,CPUE1,CPUE2,lncpue1,lncpue2,cexito,SinDatosExp,origen 
2007,11,12,4,57,4,3,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,11,12,4,23,1,1,B,15.4,15.4,15.41,2.734367509,2.735016649,1,,
2007,11,12,4,38,2,2,B,22,22,22.01,3.091042453,3.091496896,1,,
2007,11,12,4,67,5,3,B,16.8,16.8,16.81,2.821378886,2.821973947,1,,
2007,11,12,4,76,6,4,B,43.2,43.2,43.21,3.765840495,3.76607195,1,,
2007,11,12,4,54,4,3,B,42.7,42.7,42.71,3.75419892,3.754433085,1,,
2007,11,12,4,50.5,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,13,4,35,2,2,B,26.3,26.3,26.31,3.269568939,3.269949095,1,,
2007,11,13,4,65,5,3,B,5.2,5.2,5.21,1.648658626,1.650579856,1,,
2007,11,13,4,57,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,13,4,23,1,1,B,14.1,14.1,14.11,2.646174797,2.646883766,1,,
2007,11,13,4,67,5,3,B,14.4,14.4,14.41,2.667228207,2.66792241,1,,
2007,11,13,4,76,6,4,B,48.4,48.4,48.41,3.879499814,3.879706404,1,,
2007,11,13,4,54,4,3,B,45,45,45.01,3.80666249,3.806884687,1,,
2007,11,13,4,50.5,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,55,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,55,4,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,11,14,4,35,2,2,B,24.4,24.4,24.41,3.194583132,3.194992884,1,,
2007,11,14,4,38,2,2,B,10,10,10.01,2.302585093,2.303584593,1,,
2007,11,14,4,65,5,3,B,8,8,8.01,2.079441542,2.080690761,1,,
2007,11,14,4,57,4,3,B,1.8,1.8,1.81,0.587786665,0.593326845,1,,
2007,11,14,4,80,6,4,B,76.6,76.6,76.61,4.338597077,4.338727617,1,,
2007,11,14,4,80,6,4,B,50,50,50.01,3.912023005,3.912222985,1,,
2007,11,14,4,38,2,2,B,7.2,7.2,7.21,1.974081026,1.975468951,1,,
2007,11,14,4,50.5,4,3,B,37.2,37.2,37.21,3.616308761,3.616577542,1,,
2007,11,15,4,38,2,2,B,0.5,0.5,0.51,-0.693147181,-0.673344553,1,,
2007,11,15,4,65,5,3,B,3.7,3.7,3.71,1.30833282,1.311031877,1,,
2007,11,15,4,80,6,4,B,20,20,20.01,2.995732274,2.996232149,1,,
2007,11,15,4,38,2,2,B,7.5,7.5,7.51,2.014903021,2.016235466,1,,
2007,11,15,4,60,4,3,B,0.9,0.9,0.91,-0.105360516,-0.094310679,1,,
2007,11,15,4,76,6,4,B,29.8,29.8,29.81,3.394508394,3.394843908,1,,
2007,11,16,4,54,4,3,B,5,5,5.01,1.609437912,1.611435915,1,,
2007,11,16,4,50.5,4,3,B,12,12,12.01,2.48490665,2.485739636,1,,
2007,11,19,4,35,2,2,B,8,8,8.01,2.079441542,2.080690761,1,,
2007,11,28,4,57,4,3,B,10,10,10.01,2.302585093,2.303584593,1,,
2007,11,28,4,38,2,2,B,10,10,10.01,2.302585093,2.303584593,1,,
2007,11,29,4,23,1,1,B,18,18,18.01,2.890371758,2.890927159,1,,
2007,11,30,4,38,2,2,B,8,8,8.01,2.079441542,2.080690761,1,,
2007,11,30,4,50.5,4,3,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,12,1,4,23,1,1,B,25,25,25.01,3.218875825,3.219275745,1,,
2007,12,1,4,50.5,4,3,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,12,3,4,38,2,2,B,9,9,9.01,2.197224577,2.198335072,1,,
2007,12,4,4,23,1,1,B,18,18,18.01,2.890371758,2.890927159,1,,
2007,12,4,4,67,5,3,B,35,35,35.01,3.555348061,3.555633735,1,,
2007,12,4,4,50.5,4,3,B,4,4,4.01,1.386294361,1.388791241,1,,
2007,12,5,4,23,1,1,B,40,40,40.01,3.688879454,3.689129423,1,,
2007,12,6,4,35,2,2,B,50,50,50.01,3.912023005,3.912222985,1,,
2007,12,7,4,57,4,3,B,22,22,22.01,3.091042453,3.091496896,1,,
2007,12,7,4,53.4,4,3,B,7.8,7.8,7.81,2.054123734,2.055404964,1,,
2007,4,25,2,67,5,3,C,5.7,5.7,5.71,1.740466175,1.742219024,1,,
2007,12,11,4,60,4,3,B,,0,0.01,,-4.605170186,0,,
2007,2,22,1,55,4,3,B,6.2,6.2,6.21,1.824549292,1.826160896,1,,
2007,2,22,1,54,4,3,B,9.6,9.6,9.61,2.261763098,2.262804223,1,,
2007,10,18,4,42,3,2,B,30,30,30.01,3.401197382,3.401530659,1,,
2007,10,17,4,56,4,3,B,38,38,38.01,3.63758616,3.637849283,1,,
2007,10,19,4,56,4,3,B,3.2,3.2,3.21,1.16315081,1.166270937,1,,
2007,5,19,2,70,5,3,A,38,38,38.01,3.63758616,3.637849283,1,,
2007,5,19,2,56,4,3,A,34.4,34.4,34.41,3.538056564,3.53834722,1,,
2007,5,22,2,56,4,3,A,29.2,29.2,29.21,3.374168709,3.374511116,1,,
2007,5,23,2,56,4,3,A,35.3,35.3,35.31,3.563882964,3.56416621,1,,
2007,5,24,2,56,4,3,A,31.1,31.1,31.11,3.437207819,3.437529311,1,,
2007,10,9,4,80,6,4,A,4.5,4.5,4.51,1.504077397,1.506297154,1,,
2007,10,13,4,50.5,4,3,A,,0,0.01,,-4.605170186,0,,
